SKU;NOMBRE; PRECIO ;FABRICANTE;CATEGORIA-LINEA;SUB-CATEGORIA;DESCRIPCION CORTA;DESCRIPCION LARGA;META TAGS;FICHA TECNICA;IMPUESTO;NOMBRE IMÁGENES DEL PRODUCTO;;;RUTA DE LAS IMAGENES;;;INVENTARIO
025;CERA DEPILATORIA X 125 gr DURAZNO                           ; $ 6.000 ;VID MORE                      ;CORPORAL;CERA;CERA DEPILATORIA X 125 DURAZNO (VM)               ;;CERA;;IVA 19%;CERA DEPILATORIA X 125 gr DURAZNO                           ;CERA DEPILATORIA X 125 gr DURAZNO                           ;CERA DEPILATORIA X 125 gr DURAZNO                           ;;;;
026;CERA DEPILATORIA X 125 gr FRESA                             ; $ 6.000 ;VID MORE                      ;CORPORAL;CERA;CERA DEPILATORIA X 125 FRESA (VM)                 ;;CERA;;IVA 19%;CERA DEPILATORIA X 125 gr FRESA                             ;CERA DEPILATORIA X 125 gr FRESA                             ;CERA DEPILATORIA X 125 gr FRESA                             ;;;;
027;CERA DEPILATORIA X 125 gr MANDARINA                    ; $ 6.000 ;VID MORE                      ;CORPORAL;CERA;CERA DEPILATORIA X 125 MANDARINA (VM)             ;;CERA;;IVA 19%;CERA DEPILATORIA X 125 gr MANDARINA                    ;CERA DEPILATORIA X 125 gr MANDARINA                    ;CERA DEPILATORIA X 125 gr MANDARINA                    ;;;;
028;CERA DEPILATORIA X 125 gr NARANJA                           ; $ 6.000 ;VID MORE                      ;CORPORAL;CERA;CERA DEPILATORIA X 125 NARANJA(VM)                ;;CERA;;IVA 19%;CERA DEPILATORIA X 125 gr NARANJA                           ;CERA DEPILATORIA X 125 gr NARANJA                           ;CERA DEPILATORIA X 125 gr NARANJA                           ;;;;
029;CERA DEPILATORIA X 125 gr NATURAL                    ; $ 6.000 ;VID MORE                      ;CORPORAL;CERA;CERA DEPILATORIA X 125 NATURAL (VM)               ;;CERA;;IVA 19%;CERA DEPILATORIA X 125 gr NATURAL                    ;CERA DEPILATORIA X 125 gr NATURAL                    ;CERA DEPILATORIA X 125 gr NATURAL                    ;;;;
030;CREMA  BABA DE CARACOL, CALÉNDULA Y PLACENTA 750ml          ; $ 6.500 ;BACCIO                        ;CORPORAL;CREMAS;CREMA EMBRION PATO COLAGENO Y ELASTINA 750 (BC)   ;;CREMAS;;IVA 19%;CREMA  BABA DE CARACOL, CALÉNDULA Y PLACENTA 750ml          ;CREMA  BABA DE CARACOL, CALÉNDULA Y PLACENTA 750ml          ;CREMA  BABA DE CARACOL, CALÉNDULA Y PLACENTA 750ml          ;;;;
031;CREMA  BABA DE CARACOL, CALÉNDULA Y PLACENTA 750ml               ; $ 6.500 ;BACCIO                        ;CORPORAL;CREMAS;CREMA BABA DE CARACOL Y PLACENTA 750 (BC)         ;;CREMAS;;IVA 19%;CREMA  BABA DE CARACOL, CALÉNDULA Y PLACENTA 750ml               ;CREMA  BABA DE CARACOL, CALÉNDULA Y PLACENTA 750ml               ;CREMA  BABA DE CARACOL, CALÉNDULA Y PLACENTA 750ml               ;;;;
032;CREMA  EMBRIÓN DE PATO AVENA Y VITAMINA E  750ml           ; $ 6.500 ;BACCIO                        ;CORPORAL;CREMAS;CREMA EMBRION PATO AVENA Y VITAMINA E 720 (BC)    ;;CREMAS;;IVA 19%;CREMA  EMBRIÓN DE PATO AVENA Y VITAMINA E  750ml           ;CREMA  EMBRIÓN DE PATO AVENA Y VITAMINA E  750ml           ;CREMA  EMBRIÓN DE PATO AVENA Y VITAMINA E  750ml           ;;;;
033;CREMA ALISADORA KERATINA PROGRESIVA 120ml                    ; $ 44.300 ;EFFES                         ;CAPILAR;CREMAS;CREMA ALISADORA KERATINA PROG X 120 (EF)          ;;CREMAS;;IVA 19%;CREMA ALISADORA KERATINA PROGRESIVA 120ml                    ;CREMA ALISADORA KERATINA PROGRESIVA 120ml                    ;CREMA ALISADORA KERATINA PROGRESIVA 120ml                    ;;;;
034;CREMA ANTI OXIDANTE FACIAL DE OMEGA 3 283gr                            ; $ 30.000 ;NEVADA GROUP S.A.S            ;FACIAL;CREMAS;CREMA FACIAL OMEGA X 283 (NV)                     ;;CREMAS;;IVA 19%;CREMA ANTI OXIDANTE FACIAL DE OMEGA 3 283gr                            ;CREMA ANTI OXIDANTE FACIAL DE OMEGA 3 283gr                            ;CREMA ANTI OXIDANTE FACIAL DE OMEGA 3 283gr                            ;;;;
035;CREMA EXFOLIANTE FACIAL DE APRICOT  283gr                       ; $ 21.000 ;NEVADA GROUPS                 ;CORPORAL;EXFOLIANTES;EXFOLIANTE ALBARICOQUE 283 GR (NV)                ;;EXFOLIANTES;;IVA 19%;CREMA EXFOLIANTE FACIAL DE APRICOT  283gr                       ;CREMA EXFOLIANTE FACIAL DE APRICOT  283gr                       ;CREMA EXFOLIANTE FACIAL DE APRICOT  283gr                       ;;;;
036;CREMA FACIAL ALOE VERA VITAMINA E 140gr                      ; $ 14.300 ;NEVADA GRUOP                  ;FACIAL;CREMAS;CREMA FACIAL ALOE VERA X 140 (NV)                 ;;CREMAS;;IVA 19%;CREMA FACIAL ALOE VERA VITAMINA E 140gr                      ;CREMA FACIAL ALOE VERA VITAMINA E 140gr                      ;CREMA FACIAL ALOE VERA VITAMINA E 140gr                      ;;;;
