SKU;NOMBRE; PRECIO ;FABRICANTE;CATEGORIA-LINEA;SUB-CATEGORIA;DESCRIPCION CORTA;DESCRIPCION LARGA;META TAGS;FICHA TECNICA;IMPUESTO;NOMBRE IMÁGENES DEL PRODUCTO;;;RUTA DE LAS IMAGENES;;;INVENTARIO
132;ESMALTE PARA UÑAS 42                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 42                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 42                                        ;ESMALTE PARA UÑAS 42                                        ;ESMALTE PARA UÑAS 42                                        ;;;;
133;ESMALTE PARA UÑAS 44                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 44                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 44                                        ;ESMALTE PARA UÑAS 44                                        ;ESMALTE PARA UÑAS 44                                        ;;;;
134;ESMALTE PARA UÑAS 45                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 45                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 45                                        ;ESMALTE PARA UÑAS 45                                        ;ESMALTE PARA UÑAS 45                                        ;;;;
135;ESMALTE PARA UÑAS 46                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 46                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 46                                        ;ESMALTE PARA UÑAS 46                                        ;ESMALTE PARA UÑAS 46                                        ;;;;
136;ESMALTE PARA UÑAS 47                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 47                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 47                                        ;ESMALTE PARA UÑAS 47                                        ;ESMALTE PARA UÑAS 47                                        ;;;;
137;ESMALTE PARA UÑAS 48                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 48                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 48                                        ;ESMALTE PARA UÑAS 48                                        ;ESMALTE PARA UÑAS 48                                        ;;;;
138;ESMALTE PARA UÑAS 49                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 49                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 49                                        ;ESMALTE PARA UÑAS 49                                        ;ESMALTE PARA UÑAS 49                                        ;;;;
139;ESMALTE PARA UÑAS 50                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 50                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 50                                        ;ESMALTE PARA UÑAS 50                                        ;ESMALTE PARA UÑAS 50                                        ;;;;
140;ESMALTE PARA UÑAS 51                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 51                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 51                                        ;ESMALTE PARA UÑAS 51                                        ;ESMALTE PARA UÑAS 51                                        ;;;;
141;ESMALTE PARA UÑAS 52                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 52                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 52                                        ;ESMALTE PARA UÑAS 52                                        ;ESMALTE PARA UÑAS 52                                        ;;;;
142;ESMALTE PARA UÑAS 53                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 53                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 53                                        ;ESMALTE PARA UÑAS 53                                        ;ESMALTE PARA UÑAS 53                                        ;;;;
143;ESMALTE PARA UÑAS 54                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 54                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 54                                        ;ESMALTE PARA UÑAS 54                                        ;ESMALTE PARA UÑAS 54                                        ;;;;
144;ESMALTE PARA UÑAS 55                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 55                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 55                                        ;ESMALTE PARA UÑAS 55                                        ;ESMALTE PARA UÑAS 55                                        ;;;;
145;ESMALTE PARA UÑAS 56                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 56                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 56                                        ;ESMALTE PARA UÑAS 56                                        ;ESMALTE PARA UÑAS 56                                        ;;;;
146;ESMALTE PARA UÑAS 57                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 57                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 57                                        ;ESMALTE PARA UÑAS 57                                        ;ESMALTE PARA UÑAS 57                                        ;;;;
147;ESMALTE PARA UÑAS 58                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 58                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 58                                        ;ESMALTE PARA UÑAS 58                                        ;ESMALTE PARA UÑAS 58                                        ;;;;
148;ESMALTE PARA UÑAS 59                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 59                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 59                                        ;ESMALTE PARA UÑAS 59                                        ;ESMALTE PARA UÑAS 59                                        ;;;;
149;ESMALTE PARA UÑAS 60                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 60                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 60                                        ;ESMALTE PARA UÑAS 60                                        ;ESMALTE PARA UÑAS 60                                        ;;;;
150;ESMALTE PARA UÑAS 61                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 61                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 61                                        ;ESMALTE PARA UÑAS 61                                        ;ESMALTE PARA UÑAS 61                                        ;;;;
151;ESMALTE PARA UÑAS 62                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 62                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 62                                        ;ESMALTE PARA UÑAS 62                                        ;ESMALTE PARA UÑAS 62                                        ;;;;
152;ESMALTE PARA UÑAS 63                 TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                         ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 63                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 63                 TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                         ;ESMALTE PARA UÑAS 63                 TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                         ;ESMALTE PARA UÑAS 63                 TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                         ;;;;
153;ESMALTE PARA UÑAS 64                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 64                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 64                                        ;ESMALTE PARA UÑAS 64                                        ;ESMALTE PARA UÑAS 64                                        ;;;;
154;ESMALTE PARA UÑAS 65                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 65                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 65                                        ;ESMALTE PARA UÑAS 65                                        ;ESMALTE PARA UÑAS 65                                        ;;;;
155;ESMALTE PARA UÑAS 66                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 66                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 66                                        ;ESMALTE PARA UÑAS 66                                        ;ESMALTE PARA UÑAS 66                                        ;;;;
156;ESMALTE PARA UÑAS 67                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 67                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 67                                        ;ESMALTE PARA UÑAS 67                                        ;ESMALTE PARA UÑAS 67                                        ;;;;
157;ESMALTE PARA UÑAS 68                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 68                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 68                                        ;ESMALTE PARA UÑAS 68                                        ;ESMALTE PARA UÑAS 68                                        ;;;;
158;ESMALTE PARA UÑAS 69                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 69                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 69                                        ;ESMALTE PARA UÑAS 69                                        ;ESMALTE PARA UÑAS 69                                        ;;;;
159;ESMALTE PARA UÑAS 70                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 70                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 70                                        ;ESMALTE PARA UÑAS 70                                        ;ESMALTE PARA UÑAS 70                                        ;;;;
160;ESMALTE PARA UÑAS 71                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 71                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 71                                        ;ESMALTE PARA UÑAS 71                                        ;ESMALTE PARA UÑAS 71                                        ;;;;
161;ESMALTE PARA UÑAS 72                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 72                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 72                                        ;ESMALTE PARA UÑAS 72                                        ;ESMALTE PARA UÑAS 72                                        ;;;;
162;ESMALTE PARA UÑAS 73                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 73                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 73                                        ;ESMALTE PARA UÑAS 73                                        ;ESMALTE PARA UÑAS 73                                        ;;;;
163;ESMALTE PARA UÑAS 74                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 74                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 74                                        ;ESMALTE PARA UÑAS 74                                        ;ESMALTE PARA UÑAS 74                                        ;;;;
164;ESMALTE PARA UÑAS 75                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 75                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 75                                        ;ESMALTE PARA UÑAS 75                                        ;ESMALTE PARA UÑAS 75                                        ;;;;
165;ESMALTE PARA UÑAS 76                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 76                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 76                                        ;ESMALTE PARA UÑAS 76                                        ;ESMALTE PARA UÑAS 76                                        ;;;;
166;ESMALTE PARA UÑAS 77                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 77                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 77                                        ;ESMALTE PARA UÑAS 77                                        ;ESMALTE PARA UÑAS 77                                        ;;;;
167;ESMALTE PARA UÑAS 78                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 78                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 78                                        ;ESMALTE PARA UÑAS 78                                        ;ESMALTE PARA UÑAS 78                                        ;;;;
168;ESMALTE PARA UÑAS 79                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 79                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 79                                        ;ESMALTE PARA UÑAS 79                                        ;ESMALTE PARA UÑAS 79                                        ;;;;
169;ESMALTE PARA UÑAS 80                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 80                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 80                                        ;ESMALTE PARA UÑAS 80                                        ;ESMALTE PARA UÑAS 80                                        ;;;;
170;ESMALTE PARA UÑAS 81                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 81                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 81                                        ;ESMALTE PARA UÑAS 81                                        ;ESMALTE PARA UÑAS 81                                        ;;;;
171;ESMALTE PARA UÑAS 82                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 82                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 82                                        ;ESMALTE PARA UÑAS 82                                        ;ESMALTE PARA UÑAS 82                                        ;;;;
172;ESMALTE PARA UÑAS 83                  TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 83                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 83                  TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                       ;ESMALTE PARA UÑAS 83                  TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                       ;ESMALTE PARA UÑAS 83                  TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                       ;;;;
173;ESMALTE PARA UÑAS 84                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 84                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 84                                        ;ESMALTE PARA UÑAS 84                                        ;ESMALTE PARA UÑAS 84                                        ;;;;
174;ESMALTE PARA UÑAS 85                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 85                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 85                                        ;ESMALTE PARA UÑAS 85                                        ;ESMALTE PARA UÑAS 85                                        ;;;;
175;ESMALTE PARA UÑAS 86                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 86                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 86                                        ;ESMALTE PARA UÑAS 86                                        ;ESMALTE PARA UÑAS 86                                        ;;;;
176;ESMALTE PARA UÑAS 87                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 87                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 87                                        ;ESMALTE PARA UÑAS 87                                        ;ESMALTE PARA UÑAS 87                                        ;;;;
177;ESMALTE PARA UÑAS 88                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 88                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 88                                        ;ESMALTE PARA UÑAS 88                                        ;ESMALTE PARA UÑAS 88                                        ;;;;
178;ESMALTE PARA UÑAS 89                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 89                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 89                                        ;ESMALTE PARA UÑAS 89                                        ;ESMALTE PARA UÑAS 89                                        ;;;;
179;ESMALTE PARA UÑAS 90                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 90                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 90                                        ;ESMALTE PARA UÑAS 90                                        ;ESMALTE PARA UÑAS 90                                        ;;;;
180;ESMALTE PARA UÑAS 90                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 90                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 90                                        ;ESMALTE PARA UÑAS 90                                        ;ESMALTE PARA UÑAS 90                                        ;;;;
181;ESMALTE PARA UÑAS 91                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 91                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 91                                        ;ESMALTE PARA UÑAS 91                                        ;ESMALTE PARA UÑAS 91                                        ;;;;
182;ESMALTE PARA UÑAS 92                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 92                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 92                                        ;ESMALTE PARA UÑAS 92                                        ;ESMALTE PARA UÑAS 92                                        ;;;;
183;ESMALTE PARA UÑAS 93                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 93                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 93                                        ;ESMALTE PARA UÑAS 93                                        ;ESMALTE PARA UÑAS 93                                        ;;;;
184;ESMALTE PARA UÑAS 94                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 94                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 94                                        ;ESMALTE PARA UÑAS 94                                        ;ESMALTE PARA UÑAS 94                                        ;;;;
185;ESMALTE PARA UÑAS 95                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 95                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 95                                        ;ESMALTE PARA UÑAS 95                                        ;ESMALTE PARA UÑAS 95                                        ;;;;
186;ESMALTE PARA UÑAS 96                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 96                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 96                                        ;ESMALTE PARA UÑAS 96                                        ;ESMALTE PARA UÑAS 96                                        ;;;;
187;ESMALTE PARA UÑAS 97                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 97                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 97                                        ;ESMALTE PARA UÑAS 97                                        ;ESMALTE PARA UÑAS 97                                        ;;;;
188;ESMALTE PARA UÑAS 98                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 98                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 98                                        ;ESMALTE PARA UÑAS 98                                        ;ESMALTE PARA UÑAS 98                                        ;;;;
189;ESMALTE PARA UÑAS 99                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 99                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 99                                        ;ESMALTE PARA UÑAS 99                                        ;ESMALTE PARA UÑAS 99                                        ;;;;
190;ESMALTE UÑAS DE ACERO KERATINA, VITE Y CALCIO 10cc                          ; $ 5.500 ;EFFES                         ;MANOS Y UÑAS;ESMALTES;ESMALTE UÑA DE ACERO (EF)                         ;;ESMALTES;;IVA 19%;ESMALTE UÑAS DE ACERO KERATINA, VITE Y CALCIO                          ;ESMALTE UÑAS DE ACERO KERATINA, VITE Y CALCIO                          ;ESMALTE UÑAS DE ACERO KERATINA, VITE Y CALCIO                          ;;;;
191;ESPUMA DE AFEITAR REFRESCANTE 400ml                         ; $ 11.300 ;NEVADA GROUP                  ;FACIAL;CREMAS;ESPUMA DE AFEITAR REFRESCANTE 400ML               ;;ESPUMAS DE AFEITAR;;IVA 19%;ESPUMA DE AFEITAR REFRESCANTE 400ml                         ;ESPUMA DE AFEITAR REFRESCANTE 400ml                         ;ESPUMA DE AFEITAR REFRESCANTE 400ml                         ;;;;
192;ESPUMA DE AFEITAR REGULAR 400ml                     ; $ 11.300 ;NEVADA GROUP                  ;FACIAL;CREMAS;ESPUMA DE AFEITAR REGULAR 400MIL(NV)              ;;ESPUMAS DE AFEITAR;;IVA 19%;ESPUMA DE AFEITAR REGULAR 400ml                     ;ESPUMA DE AFEITAR REGULAR 400ml                     ;ESPUMA DE AFEITAR REGULAR 400ml                     ;;;;
193;ESPUMA DE AFEITAR SENSIBLE 400ml                     ; $ 11.300 ;NEVADA GROUP                  ;FACIAL;CREMAS;ESPUMA DE AFEITAR PIEL SENSIBLE X 400ML           ;;ESPUMAS DE AFEITAR;;IVA 19%;ESPUMA DE AFEITAR SENSIBLE 400ml                     ;ESPUMA DE AFEITAR SENSIBLE 400ml                     ;ESPUMA DE AFEITAR SENSIBLE 400ml                     ;;;;
194;EXFOLIANTE AVENA Y MIEL 1000ml                       ; $ 17.300 ;HERBACOL                      ;CORPORAL;EXFOLIANTES;EXFOLIANTE DE AVENA Y MIEL X 1000 CC (HB)         ;;EXFOLIANTES;;IVA 19%;EXFOLIANTE AVENA Y MIEL 1000ml                       ;EXFOLIANTE AVENA Y MIEL 1000ml                       ;EXFOLIANTE AVENA Y MIEL 1000ml                       ;;;;
195;EXFOLIANTE CAFÉ Y JENGIBRE 1000ml                 ; $ 17.300 ;HERBACOL                      ;CORPORAL;EXFOLIANTES;EXFOLIANTE DE CAFE Y JENGIBRE 1000 (HB)           ;;EXFOLIANTES;;IVA 19%;EXFOLIANTE CAFÉ Y JENGIBRE 1000ml                 ;EXFOLIANTE CAFÉ Y JENGIBRE 1000ml                 ;EXFOLIANTE CAFÉ Y JENGIBRE 1000ml                 ;;;;
196;EXFOLIANTE CHOCOLATE 1000ml                    ; $ 17.300 ;HERBACOL                      ;CORPORAL;EXFOLIANTES;EXFOLIANTE DE CHOCOLATE X 1000 cm3 (HB)           ;;EXFOLIANTES;;IVA 19%;EXFOLIANTE CHOCOLATE 1000ml                    ;EXFOLIANTE CHOCOLATE 1000ml                    ;EXFOLIANTE CHOCOLATE 1000ml                    ;;;;
197;EXFOLIANTE COCO Y ACEITE DE OLIVA 1000ml              ; $ 17.300 ;HERBACOL                      ;CORPORAL;EXFOLIANTES;EXFOLIANTE DE COCO Y OLIVA X1000 (HB)             ;;EXFOLIANTES;;IVA 19%;EXFOLIANTE COCO Y ACEITE DE OLIVA 1000ml              ;EXFOLIANTE COCO Y ACEITE DE OLIVA 1000ml              ;EXFOLIANTE COCO Y ACEITE DE OLIVA 1000ml              ;;;;
198;EXFOLIANTE CON EXTRACTO DE UVA 1000ml                              ; $ 17.300 ;HERBACOL                      ;CORPORAL;EXFOLIANTES;EXFOLIANTE DE UVA X 1000 CC (HB)                  ;;EXFOLIANTES;;IVA 19%;EXFOLIANTE CON EXTRACTO DE UVA 1000ml                              ;EXFOLIANTE CON EXTRACTO DE UVA 1000ml                              ;EXFOLIANTE CON EXTRACTO DE UVA 1000ml                              ;;;;
199;EXFOLIANTE LIMÓN Y CONCHA DE NACAR 1000ml           ; $ 17.300 ;HERBACOL                      ;CORPORAL;EXFOLIANTES;EXFOLIANTE DE LIMON CONCHA DE NACAR X 1000 (HB    ;;EXFOLIANTES;;IVA 19%;EXFOLIANTE LIMÓN Y CONCHA DE NACAR 1000ml           ;EXFOLIANTE LIMÓN Y CONCHA DE NACAR 1000ml           ;EXFOLIANTE LIMÓN Y CONCHA DE NACAR 1000ml           ;;;;
200;EXFOLIANTE MARACUYA ESPECIAL PARA MANOS Y PIES 1000ml                  ; $ 17.300 ;HERBACOL                      ;CORPORAL;EXFOLIANTES;EXFOLIANTE DE MARACUYA X 1000 cm3 (HB)            ;;EXFOLIANTES;;IVA 19%;EXFOLIANTE MARACUYA ESPECIAL PARA MANOS Y PIES 1000ml                  ;EXFOLIANTE MARACUYA ESPECIAL PARA MANOS Y PIES 1000ml                  ;EXFOLIANTE MARACUYA ESPECIAL PARA MANOS Y PIES 1000ml                  ;;;;
201;EXFOLIANTE NARANJA 1000ml                             ; $ 17.300 ;HERBACOL                      ;CORPORAL;EXFOLIANTES;EXFOLIANTE DE NARANJA X 1000 CC                   ;;EXFOLIANTES;;IVA 19%;EXFOLIANTE NARANJA 1000ml                             ;EXFOLIANTE NARANJA 1000ml                             ;EXFOLIANTE NARANJA 1000ml                             ;;;;
202;EXFOLIANTE TORONJA Y TÉ VERDE 1000ml             ; $ 17.300 ;HERBACOL                      ;CORPORAL;EXFOLIANTES;EXFOLIANTE DE TORONJA Y TE VERDE X 1000 (HB)      ;;EXFOLIANTES;;IVA 19%;EXFOLIANTE TORONJA Y TÉ VERDE 1000ml             ;EXFOLIANTE TORONJA Y TÉ VERDE 1000ml             ;EXFOLIANTE TORONJA Y TÉ VERDE 1000ml             ;;;;
203;GEL ADELGASANTE GARCINIA Y CAMBOGIA 500gr            ; $ 8.400 ;BELLALIN                      ;CORPORAL;GELES;GEL REDUCTOR GARCINIA CAMBOYA X 500 CM3 (JJ)      ;;GELES;;IVA 19%;GEL ADELGASANTE GARCINIA Y CAMBOGIA 500gr            ;GEL ADELGASANTE GARCINIA Y CAMBOGIA 500gr            ;GEL ADELGASANTE GARCINIA Y CAMBOGIA 500gr            ;;;;
204;GEL ALOE VERA 300ml                  ; $ 8.400 ;BELLALIN                      ;CORPORAL;GELES;GEL MENTOLADO DE ALOE VERA X 300 cm3 (JJ)         ;;GELES;;IVA 19%;GEL ALOE VERA 300ml                  ;GEL ALOE VERA 300ml                  ;GEL ALOE VERA 300ml                  ;;;;
205;GEL ARNICA 300ml              ; $ 8.400 ;BELLALIN                      ;CORPORAL;GELES;GEL MENTOLADO DE ARNICA X 300 cm3 (JJ)            ;;GELES;;IVA 19%;GEL ARNICA 300ml              ;GEL ARNICA 300ml              ;GEL ARNICA 300ml              ;;;;
206;GEL CALÉNDULA 300ml                ; $ 8.400 ;BELLALIN                      ;CORPORAL;GELES;GEL MENTOLADO DE CALENDULA X 300 cm3 (JJ)         ;;GELES;;IVA 19%;GEL CALÉNDULA 300ml                ;GEL CALÉNDULA 300ml                ;GEL CALÉNDULA 300ml                ;;;;
